Precinct,Anna Marie Arpino (IND),Tremecius Dixon (DEM),Steven Jackson (DEM),Adrian Perkins (DEM),Jeron Rogers (DEM),"Lee O. Savage, Jr. (REP)",Jim Taliaferro (REP),Ollie S. Tyler (DEM)
2,1.0,1.0,29.0,43.0,1.0,2.0,1.0,60.0
3,1.0,2.0,51.0,200.0,1.0,112.0,135.0,100.0
4,1.0,4.0,46.0,112.0,2.0,4.0,4.0,172.0
5,2.0,5.0,130.0,187.0,4.0,36.0,28.0,172.0
5,2.0,9.0,108.0,142.0,2.0,8.0,12.0,177.0
6,3.0,0.0,111.0,121.0,3.0,11.0,10.0,182.0
7,0.0,3.0,16.0,26.0,0.0,6.0,8.0,36.0
8,3.0,4.0,51.0,77.0,3.0,32.0,48.0,84.0
9,5.0,6.0,60.0,130.0,1.0,78.0,143.0,91.0
10,5.0,2.0,28.0,63.0,0.0,89.0,139.0,22.0
11,5.0,0.0,28.0,105.0,1.0,132.0,187.0,20.0
12,7.0,4.0,22.0,158.0,2.0,229.0,279.0,32.0
13,6.0,1.0,33.0,110.0,1.0,140.0,196.0,25.0
14,7.0,3.0,58.0,216.0,2.0,222.0,321.0,61.0
15,6.0,3.0,57.0,112.0,4.0,73.0,123.0,56.0
16,6.0,4.0,91.0,104.0,5.0,70.0,79.0,81.0
17,6.0,3.0,19.0,156.0,1.0,147.0,273.0,34.0
20,6.0,5.0,72.0,100.0,6.0,56.0,74.0,83.0
21,5.0,2.0,52.0,161.0,0.0,76.0,147.0,33.0
22,2.0,2.0,24.0,204.0,1.0,66.0,134.0,23.0
23,3.0,3.0,23.0,299.0,1.0,95.0,218.0,47.0
24,2.0,4.0,50.0,84.0,4.0,4.0,18.0,117.0
25,1.0,1.0,18.0,208.0,1.0,38.0,138.0,47.0
26,4.0,4.0,90.0,183.0,6.0,21.0,13.0,171.0
27,4.0,5.0,43.0,170.0,1.0,30.0,95.0,25.0
28,4.0,2.0,37.0,134.0,0.0,60.0,98.0,54.0
29,1.0,2.0,3.0,5.0,0.0,2.0,2.0,11.0
30,0.0,3.0,73.0,77.0,6.0,6.0,5.0,129.0
31,2.0,10.0,96.0,223.0,3.0,18.0,20.0,311.0
32,3.0,3.0,67.0,89.0,5.0,4.0,7.0,144.0
34,1.0,3.0,36.0,81.0,3.0,13.0,17.0,122.0
35,2.0,9.0,114.0,158.0,7.0,17.0,17.0,181.0
36,3.0,3.0,66.0,90.0,2.0,9.0,10.0,109.0
37,2.0,7.0,122.0,139.0,3.0,27.0,22.0,154.0
38,3.0,3.0,62.0,92.0,4.0,5.0,8.0,146.0
39,2.0,6.0,60.0,128.0,8.0,12.0,4.0,169.0
40,1.0,0.0,30.0,71.0,2.0,2.0,2.0,86.0
41,3.0,2.0,77.0,45.0,1.0,1.0,4.0,67.0
43,3.0,2.0,33.0,39.0,2.0,1.0,1.0,93.0
44,1.0,4.0,23.0,81.0,2.0,6.0,2.0,78.0
45,0.0,7.0,35.0,88.0,2.0,1.0,8.0,137.0
