Precinct,Adrian Perkins (DEM),Ollie S. Tyler (DEM),Total
1,61.0,42,103
2,281.0,115,396
3,105.0,129,234
4,241.0,170,411
5,147.0,154,301
5,140.0,141,281
6,22.0,24,46
7,88.0,72,160
8,206.0,82,288
9,167.0,54,221
10,257.0,50,307
11,350.0,86,436
12,257.0,61,318
13,438.0,97,535
14,179.0,45,224
15,167.0,86,253
16,299.0,89,388
17,144.0,75,219
20,225.0,62,287
21,271.0,41,312
22,395.0,95,490
23,100.0,92,192
24,269.0,60,329
25,173.0,133,306
26,196.0,39,235
27,169.0,69,238
28,9.0,5,14
29,92.0,116,208
30,242.0,278,520
31,103.0,113,216
32,84.0,90,174
34,170.0,156,326
35,96.0,82,178
36,165.0,126,291
37,106.0,92,198
38,128.0,113,241
39,68.0,70,138
40,66.0,61,127
41,53.0,73,126
43,81.0,54,135
44,82.0,110,192
45,191.0,185,376
46,106.0,105,211
47,260.0,126,386
48,248.0,66,314
49,232.0,67,299
49,216.0,78,294
50,155.0,163,318
51,194.0,188,382
52,150.0,100,250
53,118.0,82,200
54,142.0,178,320
55,97.0,80,177
56,301.0,110,411
57,95.0,113,208
58,131.0,115,246
59,132.0,140,272
60,125.0,112,237
61,133.0,120,253
62,239.0,147,386
63,113.0,74,187
64,132.0,92,224
65,134.0,67,201
67,80.0,85,165
68,306.0,89,395
69,178.0,133,311
70,216.0,210,426
71,81.0,101,182
72,189.0,46,235
73,203.0,228,431
74,41.0,51,92
75,394.0,135,529
76,191.0,66,257
77,323.0,89,412
78,80.0,50,130
79,136.0,81,217
80,83.0,129,212
81,146.0,139,285
82,185.0,112,297
83,155.0,132,287
84,279.0,237,516
85,190.0,137,327
86,135.0,175,310
87,188.0,126,314
88,217.0,93,310
89,215.0,99,314
90,155.0,79,234
90,143.0,77,220
91,148.0,66,214
91,142.0,75,217
92,185.0,126,311
93,176.0,97,273
94,259.0,144,403
95,194.0,131,325
97,87.0,44,131
98,86.0,37,123
99,61.0,49,110
100,199.0,125,324
101,186.0,68,254
102,185.0,62,247
103,260.0,182,442
104,362.0,69,431
106,41.0,50,91
107,45.0,16,61
108,172.0,45,217
109,409.0,106,515
110,320.0,84,404
111,58.0,98,156
112,204.0,49,253
113,196.0,75,271
114,157.0,98,255
115,488.0,139,627
122,102.0,91,193
122,101.0,93,194
123,0.0,0,0
125,0.0,0,0
126,7.0,2,9
128,570.0,128,698
129,218.0,82,300
135,0.0,0,0
137,27.0,6,33
163,18.0,2,20
