Precinct,Anna Marie Arpino (IND),Tremecius Dixon (DEM),Steven Jackson (DEM),Adrian Perkins (DEM),Jeron Rogers (DEM),"Lee O. Savage, Jr. (REP)",Jim Taliaferro (REP),Ollie S. Tyler (DEM)
1,,,,,,,,
2,1,1,29,43,1,2,1,60
3,1,2,51,200,1,112,135,100
4,1,4,46,112,2,4,4,172
005 A,2,5,130,187,4,36,28,172
005 B,2,9,108,142,2,8,12,177
6,3,0,111,121,3,11,10,182
7,0,3,16,26,0,6,8,36
8,3,4,51,77,3,32,48,84
9,5,6,60,130,1,78,143,91
10,5,2,28,63,0,89,139,22
11,5,0,28,105,1,132,187,20
12,7,4,22,158,2,229,279,32
13,6,1,33,110,1,140,196,25
14,7,3,58,216,2,222,321,61
15,6,3,57,112,4,73,123,56
16,6,4,91,104,5,70,79,81
17,6,3,19,156,1,147,273,34
20,6,5,72,100,6,56,74,83
21,5,2,52,161,0,76,147,33
22,2,2,24,204,1,66,134,23
23,3,3,23,299,1,95,218,47
24,2,4,50,84,4,4,18,117
25,1,1,18,208,1,38,138,47
26,4,4,90,183,6,21,13,171
27,4,5,43,170,1,30,95,25
28,4,2,37,134,0,60,98,54
29,1,2,3,5,0,2,2,11
30,0,3,73,77,6,6,5,129
31,2,10,96,223,3,18,20,311
32,3,3,67,89,5,4,7,144
34,1,3,36,81,3,13,17,122
35,2,9,114,158,7,17,17,181
36,3,3,66,90,2,9,10,109
37,2,7,122,139,3,27,22,154
38,3,3,62,92,4,5,8,146
39,2,6,60,128,8,12,4,169
40,1,0,30,71,2,2,2,86
41,3,2,77,45,1,1,4,67
43,3,2,33,39,2,1,1,93
44,1,4,23,81,2,6,2,78
45,0,7,35,88,2,1,8,137
46,2,5,64,215,11,15,16,225
47,0,3,52,90,3,9,5,140
48,3,4,42,196,5,91,134,136
49 A,6,0,27,83,2,124,216,30
049 B,2,2,21,111,0,92,197,30
50,4,6,21,105,1,88,187,39
51,1,4,63,176,2,2,2,184
52,1,2,112,214,4,6,3,202
53,0,4,102,143,5,6,7,140
54,3,2,54,119,1,11,8,114
55,1,8,73,158,7,10,3,228
56,1,5,30,71,0,23,51,89
57,4,5,41,178,2,176,288,50
58,1,4,70,101,4,1,1,156
59,2,7,48,165,5,8,9,127
60,3,2,102,140,4,7,10,149
61,1,1,38,119,3,4,3,165
62,1,2,62,148,0,2,2,154
63,3,6,80,222,6,56,51,152
64,3,2,32,85,2,43,45,76
65,6,7,40,110,1,25,29,99
67,2,3,46,123,1,63,68,70
68,3,1,42,83,3,1,4,89
69,1,4,34,233,2,29,177,75
70,0,5,84,133,2,99,70,140
71,3,1,148,202,4,21,18,255
72,1,5,33,87,4,0,3,158
73,4,5,39,100,1,97,136,43
74,2,9,140,193,5,11,4,288
75,0,1,22,41,1,2,1,65
76,5,4,37,287,1,78,301,74
77,1,2,27,102,3,82,203,31
78,5,4,25,186,6,149,268,51
79,3,5,50,88,0,16,14,66
80,3,5,48,93,2,45,50,89
81,1,0,54,92,3,5,0,175
82,3,11,118,121,3,12,10,195
83,4,4,54,83,2,117,146,99
84,4,3,51,125,4,36,72,161
85,3,5,81,233,14,50,60,267
86,0,4,47,144,5,67,75,133
87,1,7,63,151,4,5,4,220
88,3,4,66,167,0,49,58,149
89,3,6,48,129,1,165,136,98
90 A,4,1,34,95,3,202,139,85
90 B,0,6,54,109,0,83,79,79
91 A,3,0,39,95,2,86,85,87
91 B,5,5,43,65,2,139,92,95
92,1,4,38,78,1,132,102,77
93,1,4,28,95,0,174,161,71
94,6,3,34,94,2,150,141,97
95,3,6,69,130,3,176,122,156
97,4,1,18,87,2,178,157,88
98,3,0,9,40,0,59,81,31
99,2,1,23,59,3,54,42,23
100,2,0,26,65,0,6,12,74
101,4,4,81,222,1,39,28,173
102,0,1,36,125,2,111,148,65
103,2,4,30,117,1,98,178,27
104,5,2,45,153,2,231,166,161
106,5,2,17,220,0,91,241,29
107,0,5,28,48,2,5,4,55
108,0,0,9,37,1,25,35,23
109,2,1,8,70,0,68,171,28
110,3,1,18,192,1,89,337,52
111,3,0,16,208,0,147,221,38
112,0,3,45,61,2,2,1,120
113,1,1,25,115,2,104,156,37
114,5,4,23,103,3,136,181,48
115,1,7,56,138,2,13,31,98
 122 A,5,5,26,209,4,240,430,42
 122 B,0,3,26,98,2,8,10,103
123,0,5,34,110,0,4,6,100
125,0,0,0,0,0,0,0,0
126,0,0,0,0,0,0,0,0
128,0,0,1,4,0,10,2,0
129,3,3,18,360,2,198,404,56
135,9,13,69,176,3,98,137,80
137,0,0,0,0,0,0,0,0
163,0,1,7,14,0,26,17,7
Early Voting ,1,0,1,6,0,18,17,4
,47,61,951,2512,47,1155,2078,2478
